"Context","Question","Answer","Label"
"An exotic fruit is known for its vibrant color, sweet flavor, and high levels of vitamins C and A. However, its outer skin is prickly and needs to be peeled before consumption.","Is the outer skin of the fruit edible?","No, the outer skin is prickly and needs to be peeled before consumption.",1
"In Mediterranean regions, a small bush gives rise to bright red fruits. They are consumed fresh or in desserts due to their sweet taste and are highly valued because of their antioxidant properties.","What are the health benefits of these fruits?","These fruits have antioxidant properties.",1
"There is an ancient tree species that has fruits which exhibit unique caramel-like flavor when fully mature. These fruits are a rich source of energy and often consumed raw or as part of desserts.","How can these fruits be consumed?","These fruits can be consumed raw or as part of desserts.",1
"On the edge of the Sahara, an indigenous plant produces round fruits, appreciated for their thirst-quenching ability and nutritional value.","What are the benefits of consuming these fruits?","These fruits are appreciated for their thirst-quenching ability and nutritional value.",1
"In Latin America, tree flowers cluster and then produce fruits that have a distinct sweet and sour taste. Their juice is popular in cooking and cocktails.","What is the juice of the fruits used for?","Their juice is popular in cooking and cocktails.",1
"North American forests harbor a bush that flowers once a year, yielding small red fruits. These fruits are a seasonal delight and can be harvested to make jellies and pies.","What can these fruits be used for?","These fruits can be harvested to make jellies and pies.",1
"A Chinese tree bears an unusual fruit that enhances lung health. This fruit ripens in the late fall, presenting a sweet, honey-like flavor.","What health benefits are associated with this fruit?","This fruit enhances lung health.",1
"A climbing plant, known for its bright yellow and orange bell-like flowers, produces a fruit that is incredibly rich in vitamin C.","What nutrient is this fruit particularly rich in?","This fruit is incredibly rich in vitamin C.",1
"A plant native to Central America grows a fruit with a brown, rough skin. The creamy flesh inside full of proteins makes it a common item in savory dishes.","What is the inner part of the fruit like?","The inner part of the fruit is creamy and full of proteins.",1
"In Africa, a tropical tree grows fruits that are rich in vitamin A. The fruit, when mature, develops a deep orange interior.","What vitamin is this fruit known for?","This fruit is known for its richness in vitamin A.",1
"In Southeast Asia, a certain tree bears fruit commonly fermented into a customary drink.","What is a common use of the fruit?","The fruit is commonly fermented into a customary drink.",1
"In warmer climates, a tree blooms with flowers that turn into large, delicious fruits. Their soft, sweet pulp can be squeezed to produce a refreshing juice.","How can you enjoy these fruits?","Their soft, sweet pulp can be squeezed to produce a refreshing juice.",1
"A large, round fruit with a rough outer skin and delicious sweet flesh inside is indigenous to Africa but has spread to other parts of the world.","Is the fruit native to Africa?","Yes, the fruit is indigenous to Africa.",1
"A climbing plant in South America grows unique fruits covered with a spiky shell. Inside, the beautiful, shiny seeds are popular in making jewelry.","What is a use for the seeds of this fruit?","The shiny seeds of this fruit are popular in making jewelry.",1
"In Japan, a certain tree bears an astringent fruit until it fully ripens. At that point, it becomes sweet and custardy, perfect for desserts.","Does the fruit remain astringent when fully ripe?","No, the fruit becomes sweet and custardy when fully ripe.",1
"Along the Mediterranean coast, a type of bush yields colorful fruits with a tart taste. These fruits are usually harvested in large quantities to be turned into sweet jams.","What is a common use of these tart fruits?","These fruits are usually turned into sweet jams.",1
"A certain variety of a plant produces a fruit with high iron content. This fruit has a dark, almost black exterior when ripe and has a predominantly sweet taste.","What nutrients can be found in this fruit?","This fruit is high in iron content.",1
"Drying or dehydrating is a common method of preserving nutrients in edibles. It can be used on everything from herbs to grapes and dates.","What happens to grapes when they are dehydrated?","They turn into raisins.",1
"It is integral, especially for people who maintain rigorous exercise routines, to replenish lost electrolytes. Some edibles are more efficient at it than others.","What edible item is a great source for replenishing electrolytes?","Bananas are known to be an excellent source of electrolytes.",1
"Many types of desserts and sauces require a bit of tartness to achieve a balanced flavor profile. There are various sources that can provide this.","What is a common source to provide tartness in dishes?","Lemons and limes are commonly used to provide tartness.",1
"Water content plays an important role in the taste of certain edibles, affecting their juiciness and overall texture. One of the top contenders for water content is over 95% water.","What is one of the edibles with the highest water content?","Watermelons have one of the highest water contents of all edibles, at around 92%.",1
